error_model,detection_outcome,min_err,max_err,avg_err,diff_vals_count,relative_sum
RANDOM_VALUE,TRUE_POSITIVE,1.03032172314450276573e-01,1.11946043712868714692e+00,6.11246304721568711749e-01,2,1.22249260944313742350e+00
RANDOM_VALUE,TRUE_POSITIVE,2.55561132782926186516e+32,1.85738828300426749461e+34,9.41472198141280054831e+33,2,1.88294439628256010966e+34
RANDOM_VALUE,TRUE_POSITIVE,1.79769313486231570815e+308,,,2,
RANDOM_VALUE,TRUE_POSITIVE,9.79080165217852707759e+130,4.72568236893696344815e+133,2.36773658529457114030e+133,2,4.73547317058914228060e+133
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,3.17709869703096228477e+03,1.58904934851548114239e+03,2,3.17809869703096228477e+03
RANDOM_VALUE,TRUE_POSITIVE,4.95820635741354438164e+23,4.27649913858409133559e+25,2.16304060107911330582e+25,2,4.32608120215822661163e+25
RANDOM_VALUE,TRUE_POSITIVE,2.70366821780831934063e-03,4.14137342351690929121e+00,2.07203854586735891630e+00,2,4.14407709173471783259e+00
RANDOM_VALUE,TRUE_POSITIVE,6.02602161597879216315e+158,6.02602161597879216315e+158,6.02602161597879216315e+158,1,6.02602161597879216315e+158
RANDOM_VALUE,TRUE_POSITIVE,2.13356735562135588825e+162,1.74367708194728425375e+165,8.72905324651452764260e+164,2,1.74581064930290552852e+165
RANDOM_VALUE,TRUE_POSITIVE,1.36989113626946250242e+175,1.36989113626946250242e+175,1.36989113626946250242e+175,1,1.36989113626946250242e+175
RANDOM_VALUE,TRUE_POSITIVE,5.98216612933688551834e-05,2.39173031612915920618e-03,1.22577598871126403068e-03,2,2.45155197742252806137e-03
RANDOM_VALUE,TRUE_POSITIVE,3.04882671337795674305e-01,3.04882671337795674305e-01,3.04882671337795674305e-01,1,3.04882671337795674305e-01
RANDOM_VALUE,TRUE_POSITIVE,8.32089758847143201592e-03,4.48901052752332940798e-02,2.66055014318523630479e-02,2,5.32110028637047260958e-02
RANDOM_VALUE,TRUE_POSITIVE,1.79769313486231570815e+308,,,2,
RANDOM_VALUE,TRUE_POSITIVE,5.95461932136831502627e+76,3.61428187710869816524e+80,1.80743866952041742953e+80,2,3.61487733904083485906e+80
RANDOM_VALUE,TRUE_POSITIVE,4.16530427026747016931e+59,5.10793772259918799888e+61,2.57479538265093146179e+61,2,5.14959076530186292359e+61
RANDOM_VALUE,TRUE_POSITIVE,1.39678939170551075222e-05,8.27881569418797980120e-03,4.14639179405251745436e-03,2,8.29278358810503490872e-03
RANDOM_VALUE,TRUE_POSITIVE,2.38606482406945914905e+80,2.38606482406945914905e+80,2.38606482406945914905e+80,1,2.38606482406945914905e+80
RANDOM_VALUE,TRUE_POSITIVE,1.20182057823390531226e-01,1.49354934704023989411e+00,8.06865702431815212670e-01,2,1.61373140486363042534e+00
RANDOM_VALUE,TRUE_POSITIVE,1.43445196607214664475e-01,3.20962525894256378578e+00,1.67653522777488928064e+00,2,3.35307045554977856128e+00
RANDOM_VALUE,TRUE_POSITIVE,4.79454792090550085959e-07,6.33369465208311055449e-07,5.56412128649430570704e-07,2,1.11282425729886114141e-06
RANDOM_VALUE,TRUE_POSITIVE,1.53996114714658682843e-01,3.16794579470185744263e-01,2.35395347092422213553e-01,2,4.70790694184844427106e-01
RANDOM_VALUE,TRUE_POSITIVE,6.51672748074226700000e+15,3.38952928103649088000e+17,1.72734827792195680000e+17,2,3.45469655584391360000e+17
RANDOM_VALUE,TRUE_POSITIVE,1.25453393673635771322e+00,3.61100719323502090674e+01,1.86823029345432836124e+01,2,3.73646058690865672247e+01
RANDOM_VALUE,TRUE_POSITIVE,9.38421112373077903612e-07,1.32462508765085473783e-05,7.09233599444081264096e-06,2,1.41846719888816252819e-05
RANDOM_VALUE,TRUE_POSITIVE,1.51489478408403042932e+175,1.51489478408403042932e+175,1.51489478408403042932e+175,1,1.51489478408403042932e+175
RANDOM_VALUE,TRUE_POSITIVE,1.38303805243340738329e-01,5.63331093553216760483e+02,2.81734698679230064045e+02,2,5.63469397358460128089e+02
RANDOM_VALUE,TRUE_POSITIVE,1.00227947904031333692e-01,1.16014804706833842829e+02,5.80575163273689369703e+01,2,1.16115032654737873941e+02
RANDOM_VALUE,TRUE_POSITIVE,4.60328665852216545318e-07,9.97657252477246458966e-07,7.28992959164731502142e-07,2,1.45798591832946300428e-06
RANDOM_VALUE,TRUE_POSITIVE,2.76412766986017466309e-01,1.11806764419492399298e+01,5.72854460446762914216e+00,2,1.14570892089352582843e+01
RANDOM_VALUE,TRUE_POSITIVE,3.77539253741554503563e-03,2.54449717564337829501e+00,1.27413628409039692002e+00,2,2.54827256818079384004e+00
RANDOM_VALUE,TRUE_POSITIVE,5.00849608592868200674e-03,3.89908457421920573438e+00,1.95204653515256731922e+00,2,3.90409307030513463843e+00
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,6.19697649479110665993e+01,3.14848824739555332997e+01,2,6.29697649479110665993e+01
RANDOM_VALUE,TRUE_POSITIVE,3.18639950261012018144e+146,4.63719199239367365996e+148,2.33452799370988754623e+148,2,4.66905598741977509246e+148
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,2.95469739400381467931e+03,1.47784869700190733965e+03,2,2.95569739400381467931e+03
RANDOM_VALUE,TRUE_POSITIVE,1.82269595140266749134e-01,2.10509326606468931686e+02,1.05345798100804600494e+02,2,2.10691596201609200989e+02
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,1.00000000000000000000e+00,1.00000000000000000000e+00,1,1.00000000000000000000e+00
RANDOM_VALUE,TRUE_POSITIVE,4.38322866780360698158e-07,1.39945104804528597242e-05,7.21641667361661021118e-06,2,1.44328333472332204224e-05
RANDOM_VALUE,TRUE_POSITIVE,1.80337385768947200404e-06,6.65615055948087785964e-05,3.41824397262491253002e-05,2,6.83648794524982506005e-05
RANDOM_VALUE,TRUE_POSITIVE,5.53520969777268057044e-02,1.00000000000000000000e+00,5.27676048488863402852e-01,2,1.05535209697772680570e+00
RANDOM_VALUE,TRUE_POSITIVE,1.14701594378428699952e+164,2.01436793976632209668e+165,1.06453476707237541110e+165,2,2.12906953414475082220e+165
RANDOM_VALUE,TRUE_POSITIVE,5.95056798909822661525e+57,5.95056798909822661525e+57,5.95056798909822661525e+57,1,5.95056798909822661525e+57
RANDOM_VALUE,TRUE_POSITIVE,6.60837062815833320428e-06,1.36032693807131010999e-05,1.01058200044357171521e-05,2,2.02116400088714343042e-05
RANDOM_VALUE,TRUE_POSITIVE,1.96005029243277678219e+163,2.98782638856695652456e+165,1.50371344574564206627e+165,2,3.00742689149128413255e+165
RANDOM_VALUE,TRUE_POSITIVE,9.30598220896392987333e+82,2.43671000464863605167e+83,1.68365411277251445210e+83,2,3.36730822554502890421e+83
RANDOM_VALUE,TRUE_POSITIVE,1.22748403817449891484e-01,2.77024999534924853961e+00,1.44649919958334916004e+00,2,2.89299839916669832007e+00
RANDOM_VALUE,TRUE_POSITIVE,1.44253227099930825261e-02,4.56835064849877259263e+00,2.29138798560438283758e+00,2,4.58277597120876567516e+00
RANDOM_VALUE,TRUE_POSITIVE,2.21215498159780254994e-01,6.24113045142635947116e+00,3.23117297479306975205e+00,2,6.46234594958613950411e+00
RANDOM_VALUE,TRUE_POSITIVE,1.23474257820243416006e+00,2.88304564051839449235e+01,1.50325994916931904299e+01,2,3.00651989833863808599e+01
RANDOM_VALUE,TRUE_POSITIVE,3.68322335988158222619e-04,4.58641767782348441784e-01,2.29505045059168300003e-01,2,4.59010090118336600007e-01
RANDOM_VALUE,TRUE_POSITIVE,1.42483884266007533796e+129,8.40892117629990945381e+130,4.27570253028295869389e+130,2,8.55140506056591738778e+130
RANDOM_VALUE,TRUE_POSITIVE,1.07896793353864183667e+223,9.39544299606380661490e+224,4.75166989470883514244e+224,2,9.50333978941767028488e+224
RANDOM_VALUE,TRUE_POSITIVE,3.24464874404311043321e-02,1.41471679555566476338e+00,7.23581641498047933858e-01,2,1.44716328299609586772e+00
RANDOM_VALUE,TRUE_POSITIVE,3.99565501110063614476e-01,1.50440796925589692634e+00,9.51986735182980270409e-01,2,1.90397347036596054082e+00
RANDOM_VALUE,TRUE_POSITIVE,9.00966052449455684267e+305,,,2,
RANDOM_VALUE,TRUE_POSITIVE,2.19010238471741169874e-01,4.59782715965056709706e+00,2.40841869906115402244e+00,2,4.81683739812230804489e+00
RANDOM_VALUE,TRUE_POSITIVE,1.23531061746451342742e-06,1.00000000000000000000e+00,5.00000617655308676746e-01,2,1.00000123531061735349e+00
RANDOM_VALUE,TRUE_POSITIVE,1.63921146686981367341e+158,1.29977674350059415327e+161,6.50707977483732021517e+160,2,1.30141595496746404303e+161
RANDOM_VALUE,TRUE_POSITIVE,1.45812271514935698491e-01,1.53607936737117789505e+01,7.75330297261335754655e+00,2,1.55066059452267150931e+01
RANDOM_VALUE,TRUE_POSITIVE,1.04994252390178577594e+240,7.93691977286437026053e+240,4.49343114838307811077e+240,2,8.98686229676615622154e+240
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,8.91344073187745422615e+00,4.95672036593872711308e+00,2,9.91344073187745422615e+00
RANDOM_VALUE,TRUE_POSITIVE,6.85040020356830758885e-02,2.95317670802523446483e+00,1.51084035503045877036e+00,2,3.02168071006091754072e+00
RANDOM_VALUE,TRUE_POSITIVE,2.32359989217286067031e-01,9.31891362536415135409e-01,5.82125675876850601220e-01,2,1.16425135175370120244e+00
RANDOM_VALUE,TRUE_POSITIVE,1.92674433854332094123e+213,3.46912500702400739906e+215,1.74419622520472022949e+215,2,3.48839245040944045897e+215
RANDOM_VALUE,TRUE_POSITIVE,3.70873060144127908444e-03,4.58536768121897919670e-01,2.31122749361669599377e-01,2,4.62245498723339198754e-01
RANDOM_VALUE,TRUE_POSITIVE,1.79769313486231570815e+308,,,2,
RANDOM_VALUE,TRUE_POSITIVE,9.46663416877645157503e+161,2.41148271239747407013e+165,1.20621468790717576704e+165,2,2.41242937581435153408e+165
RANDOM_VALUE,TRUE_POSITIVE,1.09673632166690127043e-01,1.50659727966720158321e+01,7.58782321441935270201e+00,2,1.51756464288387054040e+01
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,4.06872741144778819944e+03,2.03486370572389409972e+03,2,4.06972741144778819944e+03
RANDOM_VALUE,TRUE_POSITIVE,2.04524446653725776656e+64,1.19602773902194759590e+66,6.08240091843660047324e+65,2,1.21648018368732009465e+66
RANDOM_VALUE,TRUE_POSITIVE,2.73944500658387934955e-01,3.48671471561455392774e-01,3.11307986109921663864e-01,2,6.22615972219843327728e-01
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,1.88805437089167575948e+01,9.94027185445837879740e+00,2,1.98805437089167575948e+01
RANDOM_VALUE,TRUE_POSITIVE,6.09247194251273569421e+01,1.15985797907602076862e+02,8.84552586663647133491e+01,2,1.76910517332729426698e+02
RANDOM_VALUE,TRUE_POSITIVE,9.99369284284755021730e-01,8.15559134615754857123e+01,4.12776413729301197009e+01,2,8.25552827458602394017e+01
RANDOM_VALUE,TRUE_POSITIVE,3.73520837190032262143e-02,1.00000000000000000000e+00,5.18676041859501557596e-01,2,1.03735208371900311519e+00
RANDOM_VALUE,TRUE_POSITIVE,5.98430488263730353538e-02,1.00000000000000000000e+00,5.29921524413186517677e-01,2,1.05984304882637303535e+00
RANDOM_VALUE,TRUE_POSITIVE,1.21898151512045416212e-03,3.96704095203295636907e+00,1.98412996677403841161e+00,2,3.96825993354807682323e+00
RANDOM_VALUE,TRUE_POSITIVE,1.28808456461614428967e-01,1.00000000000000000000e+00,5.64404228230807269995e-01,2,1.12880845646161453999e+00
RANDOM_VALUE,TRUE_POSITIVE,1.04204156552434490379e+00,3.34317071086591167841e+05,1.67159056564078346128e+05,2,3.34318113128156692255e+05
RANDOM_VALUE,TRUE_POSITIVE,1.79769313486231570815e+308,,,2,
RANDOM_VALUE,TRUE_POSITIVE,1.79769313486231570815e+308,,,2,
RANDOM_VALUE,TRUE_POSITIVE,1.55620671385026110300e-03,6.35225051316640199062e-02,3.25393559227571405046e-02,2,6.50787118455142810092e-02
RANDOM_VALUE,TRUE_POSITIVE,5.78223374231634501541e-04,1.00020195334735229054e+00,5.00390088360791907007e-01,2,1.00078017672158381401e+00
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,7.74616446370093035512e+03,3.87358223185046517756e+03,2,7.74716446370093035512e+03
RANDOM_VALUE,TRUE_POSITIVE,4.50281741901595837456e+228,4.50281741901595837456e+228,4.50281741901595837456e+228,1,4.50281741901595837456e+228
RANDOM_VALUE,TRUE_POSITIVE,2.39466265826115742854e-01,2.80367543829148813117e+00,1.52157085205880182599e+00,2,3.04314170411760365198e+00
RANDOM_VALUE,TRUE_POSITIVE,1.40357138755051513712e+00,2.68537044837571325928e+00,2.04447091796311397616e+00,2,4.08894183592622795231e+00
RANDOM_VALUE,TRUE_POSITIVE,4.54257855439177404833e-03,1.00000000000000000000e+00,5.02271289277195887024e-01,2,1.00454257855439177405e+00
RANDOM_VALUE,TRUE_POSITIVE,1.72900254122421159764e-04,1.09017854036973838028e-01,5.45953771455481295938e-02,2,1.09190754291096259188e-01
RANDOM_VALUE,TRUE_POSITIVE,1.06409856395694597448e+259,1.06409856395694597448e+259,1.06409856395694597448e+259,1,1.06409856395694597448e+259
RANDOM_VALUE,TRUE_POSITIVE,1.79769313486231570815e+308,,,2,
RANDOM_VALUE,TRUE_POSITIVE,2.73136797970180562025e+92,2.92570131147413336187e+94,1.47650749563557565403e+94,2,2.95301499127115130807e+94
RANDOM_VALUE,TRUE_POSITIVE,3.70265316728124460610e-05,8.58209515539609668622e-05,6.14237416133867064616e-05,2,1.22847483226773412923e-04
RANDOM_VALUE,TRUE_POSITIVE,6.75556776870140929248e-02,1.62645932251598290819e+00,8.47007500101498500555e-01,2,1.69401500020299700111e+00
RANDOM_VALUE,TRUE_POSITIVE,1.77055233024672510285e+299,3.64886372726271160113e+300,1.91295948014369218582e+300,2,3.82591896028738437164e+300
RANDOM_VALUE,TRUE_POSITIVE,1.41335540307455209685e-01,1.41335540307455209685e-01,1.41335540307455209685e-01,1,1.41335540307455209685e-01
RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,2.50620093095120175519e+01,1.30310046547560087760e+01,2,2.60620093095120175519e+01
RANDOM_VALUE,TRUE_POSITIVE,1.79769313486231570815e+308,,,2,
RANDOM_VALUE,TRUE_POSITIVE,1.31884217437018436136e+00,5.30141446810371235188e+01,2.71664934277036529409e+01,2,5.43329868554073058817e+01
RANDOM_VALUE,TRUE_POSITIVE,1.00123844840229736519e-02,1.00000000000000000000e+00,5.05006192242011486826e-01,2,1.01001238448402297365e+00
RANDOM_VALUE,TRUE_POSITIVE,1.68429226301400526404e+175,7.75469884808139054497e+175,4.71949555554769755303e+175,2,9.43899111109539510605e+175
RANDOM_VALUE,TRUE_POSITIVE,1.33001333457727355380e-06,1.10205909467087082021e-05,6.17530214064299087795e-06,2,1.23506042812859817559e-05
RANDOM_VALUE,TRUE_POSITIVE,1.07093327186415732122e-01,5.13258110082221730153e+00,2.61983721400431646131e+00,2,5.23967442800863292263e+00
RANDOM_VALUE,TRUE_POSITIVE,3.26939822065439607551e+93,8.09069799864634682995e+94,4.20881891035589354297e+94,2,8.41763782071178708593e+94
RANDOM_VALUE,TRUE_POSITIVE,1.24096069763891938290e+203,5.24874243679027348105e+205,2.63057602188333120168e+205,2,5.26115204376666240337e+205
RANDOM_VALUE,TRUE_POSITIVE,6.67652285433840475548e-01,1.48503709058099502727e+02,7.45856806717666671602e+01,2,1.49171361343533334320e+02
RANDOM_VALUE,TRUE_POSITIVE,4.20803522867526647033e-02,3.28483728144636666357e+00,1.66345881686655960863e+00,2,3.32691763373311921725e+00
RANDOM_VALUE,TRUE_POSITIVE,1.79769313486231570815e+308,,,2,
RANDOM_VALUE,TRUE_POSITIVE,1.12110990061307091992e-02,1.00000000000000000000e+00,5.05605549503065354600e-01,2,1.01121109900613070920e+00
