benchmark,error_model,detection_outcome,min_err,max_err,avg_err,relative_sum
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,2.32591978609911602689e+05,161795790.88432592,81014191.43146794,162028382.86293587
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,2.27412084717656060029e-01,3.2377918848331224,1.7326019847753895,3.465203969550779
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,1.22325110940568748674e-06,0.003094366937962833,0.0015477950945361198,0.0030955901890722397
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,2.03568667083068266521e+00,2.035686670830682,2.035686670830682,2.035686670830682
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,2.95684620931910074866e+172,2.526651093795926e+173,1.4111678573639178e+173,2.8223357147278357e+173
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,5.81226089223137154649e+283,1.020272174385399e+284,8.007491318042679e+283,1.601498263608536e+284
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,3.09236619164419194395e+137,1.62549106989437e+139,8.282073659054059e+138,1.6564147318108118e+139
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,7.17112328616092097465e+45,2.65705182388297e+46,1.687082076249531e+46,3.374164152499062e+46
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,2.77547785753573486947e+197,6.675038549643156e+198,3.4762931676983656e+198,6.952586335396731e+198
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,3.13244649509660133546e-01,6.3984521513757,3.3558484004426807,6.7116968008853615
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,1.88651848494298723935e-01,1.0,0.5943259242471494,1.1886518484942987
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,6.20910134582834433219e+94,9.55821679376859e+94,7.883659069798469e+94,1.5767318139596938e+95
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,1.43930186824459127592e-06,0.02006604685205238,0.010033743076960307,0.020067486153920615
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,1.80858256916008874882e-02,1.0,0.5090429128458004,1.0180858256916008
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,4.77425242540749481012e+226,1.136654973742998e+230,5.685661994927693e+229,1.1371323989855387e+230
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,1.09199250396438518607e-01,0.10919925039643852,0.10919925039643852,0.10919925039643852
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,4.07576695924460885578e-03,1.0,0.5020378834796224,1.0040757669592448
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,3.22435625519190693922e-03,1.0,0.501612178127596,1.003224356255192
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,2.46950695791453350936e+298,4.103299986264803e+302,2.051773468480298e+302,4.103546936960596e+302
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,14875.49910564054,7438.24955282027,14876.49910564054
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,334.61802811165404,167.80901405582702,335.61802811165404
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,2.31812752601312510592e-05,4.757627848261948e-05,3.537877687137536e-05,7.075755374275072e-05
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,6.11685997203175180204e-02,1.5221172614152212,0.7916429305677694,1.583285861135539
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,1.00000000000000000000e+00,35.434336054221234,18.217168027110617,36.434336054221234
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,1.89911427560258472269e-01,1.4686064876973468,0.8292589576288025,1.658517915257605
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,7.29063798805080972689e+303,7.290637988050813e+303,7.290637988050813e+303,7.290637988050813e+303
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,1.79769313486231570815e+308,,,
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,7.20970235396713890327e+261,7.498986883785527e+265,3.749853927010462e+265,7.499707854020924e+265
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,5.21137663497870447347e+82,1.1360773975835158e+85,5.706443871092471e+84,1.1412887742184942e+85
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,4.89994145692340676845e-03,1.0,0.5024499707284618,1.0048999414569235
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,1.69932171552969246697e-01,114.0635329681198,57.11673256983636,114.23346513967272
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,9.55963609084552099392e+294,1.77932221912346e+295,1.3676429141040063e+295,2.7352858282080126e+295
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,2.40731496230105781371e+22,4.673357378965824e+25,2.3378823469640632e+25,4.6757646939281264e+25
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,1.17574733031863471728e+287,6.154840319349919e+287,3.6652938248342767e+287,7.330587649668553e+287
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,1.79769313486231570815e+308,,,
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,3.68195015010286397228e-06,7.3046777887553205e-06,5.493313969429092e-06,1.0986627938858184e-05
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,7.95532756019656475327e+160,1.0204393581892187e+162,5.499963168955921e+161,1.0999926337911841e+162
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,1.09869743587387921153e+253,3.0128608386201725e+254,1.56136529110378e+254,3.12273058220756e+254
blackScholes,RANDOM_VALUE,TRUE_POSITIVE,7.15259943360798361551e+167,3.806774045995537e+169,1.939150020165809e+169,3.8783000403316185e+169
